,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Income_per_Year,Log_MonthlyIncome,Log_DailyRate,Norm_Age,Norm_MonthlyRate,Poly_0,Poly_1,Poly_2,Poly_3,Poly_4
274,21,No,Travel_Rarely,996,Research & Development,3,2,Medical,1,379,4,Male,100,2,1,Research Scientist,3,Single,3230,10531,1,Y,No,17,3,1,80,0,3,4,4,3,2,1,0,9690.0,8.080546965824498,6.904750769961838,0.07142857142857145,0.33876731580004016,3.0,17.0,9.0,51.0,289.0
275,37,No,Non-Travel,728,Research & Development,1,4,Medical,1,380,1,Female,80,3,3,Research Director,4,Divorced,13603,11677,2,Y,Yes,18,3,1,80,2,15,2,3,5,2,0,2,27206.0,9.518119146127086,6.591673732008658,0.4523809523809524,0.38478217225456735,3.0,18.0,9.0,54.0,324.0
276,35,No,Travel_Rarely,1315,Research & Development,22,3,Life Sciences,1,381,2,Female,71,4,3,Manager,2,Divorced,11996,19100,7,Y,No,18,3,2,80,1,10,6,2,7,7,6,2,17994.0,9.392411897514927,7.182352111885263,0.4047619047619047,0.6828347721341096,3.0,18.0,9.0,54.0,324.0
277,38,No,Travel_Rarely,322,Sales,7,2,Medical,1,382,1,Female,44,4,2,Sales Executive,1,Divorced,5605,19191,1,Y,Yes,24,4,3,80,1,8,3,3,8,0,7,7,7473.333333333333,8.631592731724734,5.777652323222656,0.4761904761904761,0.6864886568962055,4.0,24.0,16.0,96.0,576.0
278,26,No,Travel_Frequently,1479,Research & Development,1,3,Life Sciences,1,384,3,Female,84,3,2,Manufacturing Director,2,Divorced,6397,26767,1,Y,No,20,4,1,80,1,6,6,1,6,5,1,4,10966.285714285714,8.763740720509464,7.299797366758161,0.19047619047619052,0.9906846014856455,4.0,20.0,16.0,80.0,400.0
279,50,No,Travel_Rarely,797,Research & Development,4,1,Life Sciences,1,385,1,Male,96,3,5,Research Director,2,Divorced,19144,15815,3,Y,No,14,3,1,80,2,28,4,2,10,4,1,6,20884.363636363636,9.859796863911395,6.682108597449809,0.7619047619047619,0.5509335474804257,3.0,14.0,9.0,42.0,196.0
280,53,No,Travel_Rarely,1070,Research & Development,3,4,Medical,1,386,3,Male,45,3,4,Research Director,3,Married,17584,21016,3,Y,Yes,16,3,4,80,3,21,5,2,5,3,1,3,35168.0,9.774801544908083,6.976348070447749,0.8333333333333333,0.7597671150371411,3.0,16.0,9.0,48.0,256.0
281,42,No,Travel_Rarely,635,Sales,1,1,Life Sciences,1,387,2,Male,99,3,2,Sales Executive,3,Married,4907,24532,1,Y,No,25,4,3,80,0,20,3,3,20,16,11,6,2804.0,8.498621805830801,6.455198563340122,0.5714285714285714,0.9009435856253765,4.0,25.0,16.0,100.0,625.0
282,29,No,Travel_Frequently,442,Sales,2,2,Life Sciences,1,388,2,Male,44,3,2,Sales Executive,4,Single,4554,20260,1,Y,No,18,3,1,80,0,10,3,2,10,7,0,9,4968.0,8.423980809694058,6.093569770045136,0.2619047619047619,0.7294117647058823,3.0,18.0,9.0,54.0,324.0
283,55,No,Travel_Rarely,147,Research & Development,20,2,Technical Degree,1,389,2,Male,37,3,2,Laboratory Technician,4,Married,5415,15972,3,Y,Yes,19,3,4,80,1,12,4,3,10,7,0,8,5907.272727272727,8.59711281459211,4.997212273764115,0.8809523809523809,0.5572375025095362,3.0,19.0,9.0,57.0,361.0
284,26,No,Travel_Frequently,496,Research & Development,11,2,Medical,1,390,1,Male,60,3,2,Healthcare Representative,1,Married,4741,22722,1,Y,Yes,13,3,3,80,1,5,3,3,5,3,3,3,9482.0,8.464214266625351,6.208590026096629,0.19047619047619052,0.8282674161814897,3.0,13.0,9.0,39.0,169.0
285,37,No,Travel_Rarely,1372,Research & Development,1,3,Life Sciences,1,391,4,Female,42,3,1,Research Scientist,4,Single,2115,15881,1,Y,No,12,3,2,80,0,17,3,3,17,12,5,7,1410.0,7.65728279297819,7.224753405767971,0.4523809523809524,0.5535836177474402,3.0,12.0,9.0,36.0,144.0
286,44,Yes,Travel_Frequently,920,Research & Development,24,3,Life Sciences,1,392,4,Male,43,3,1,Laboratory Technician,3,Divorced,3161,19920,3,Y,Yes,22,4,4,80,1,19,0,1,1,0,0,0,18966.0,8.058960017769417,6.825460036255307,0.6190476190476188,0.7157598875727765,4.0,22.0,16.0,88.0,484.0
287,38,No,Travel_Rarely,688,Research & Development,23,4,Life Sciences,1,393,4,Male,82,3,2,Healthcare Representative,4,Divorced,5745,18899,9,Y,No,14,3,2,80,1,10,2,3,2,2,1,2,22980.0,8.656259239539235,6.535241271013659,0.4761904761904761,0.6747641035936559,3.0,14.0,9.0,42.0,196.0
288,26,Yes,Travel_Rarely,1449,Research & Development,16,4,Medical,1,394,1,Male,45,3,1,Laboratory Technician,2,Divorced,2373,14180,2,Y,Yes,13,3,4,80,1,5,2,3,3,2,0,2,7119.0,7.772331575169614,7.27931883541462,0.19047619047619052,0.48528407950210806,3.0,13.0,9.0,39.0,169.0
289,28,No,Travel_Rarely,1117,Research & Development,8,2,Life Sciences,1,395,4,Female,66,3,1,Research Scientist,4,Single,3310,4488,1,Y,No,21,4,4,80,0,5,3,3,5,3,0,2,6620.0,8.105005537547246,7.0192966537150445,0.23809523809523808,0.09612527604898613,4.0,21.0,16.0,84.0,441.0
290,49,No,Travel_Frequently,636,Research & Development,10,4,Life Sciences,1,396,3,Female,35,3,5,Research Director,1,Single,18665,25594,9,Y,Yes,11,3,4,80,0,22,4,3,3,2,1,2,55995.0,9.834458966125691,6.456769655572163,0.7380952380952379,0.9435856253764304,3.0,11.0,9.0,33.0,121.0
291,36,No,Travel_Rarely,506,Research & Development,3,3,Technical Degree,1,397,3,Male,30,3,2,Research Scientist,2,Single,4485,26285,4,Y,No,12,3,4,80,0,10,2,3,8,0,7,7,5980.0,8.408716715080153,6.2285110035911835,0.42857142857142855,0.9713310580204778,3.0,12.0,9.0,36.0,144.0
292,31,No,Travel_Frequently,444,Sales,5,3,Marketing,1,399,4,Female,84,3,1,Sales Representative,2,Divorced,2789,3909,1,Y,No,11,3,3,80,1,2,5,2,2,2,2,2,11156.0,7.933796874815411,6.09807428216624,0.3095238095238095,0.07287693234290302,3.0,11.0,9.0,33.0,121.0
293,26,Yes,Travel_Rarely,950,Sales,4,4,Marketing,1,401,4,Male,48,2,2,Sales Executive,4,Single,5828,8450,1,Y,Yes,12,3,2,80,0,8,0,3,8,7,7,4,7770.666666666667,8.67060073804555,6.85751406254539,0.19047619047619052,0.255209797229472,3.0,12.0,9.0,36.0,144.0
294,37,No,Travel_Frequently,889,Research & Development,9,3,Medical,1,403,2,Male,53,3,1,Research Scientist,4,Married,2326,11411,1,Y,Yes,12,3,3,80,3,4,3,2,4,2,1,2,5582.4,7.752335163302292,6.7912214627261855,0.4523809523809524,0.37410158602690224,3.0,12.0,9.0,36.0,144.0
295,42,No,Travel_Frequently,555,Sales,26,3,Marketing,1,404,3,Female,77,3,4,Sales Executive,2,Married,13525,14864,5,Y,No,14,3,4,80,1,23,2,4,20,4,4,8,7728.571428571428,9.512369038134885,6.320768294250582,0.5714285714285714,0.5127484440875326,3.0,14.0,9.0,42.0,196.0
296,18,Yes,Travel_Rarely,230,Research & Development,3,3,Life Sciences,1,405,3,Male,54,3,1,Laboratory Technician,3,Single,1420,25233,1,Y,No,13,3,3,80,0,0,2,3,0,0,0,0,17040.0,7.259116128097101,5.442417710521793,0.0,0.9290905440674563,3.0,13.0,9.0,39.0,169.0
297,35,No,Travel_Rarely,1232,Sales,16,3,Marketing,1,406,3,Male,96,3,3,Sales Executive,2,Married,8020,5100,0,Y,No,15,3,3,80,2,12,3,2,11,9,6,9,8020.0,8.989818381366925,7.117205503164344,0.4047619047619047,0.12069865488857659,3.0,15.0,9.0,45.0,225.0
298,36,No,Travel_Frequently,566,Research & Development,18,4,Life Sciences,1,407,3,Male,81,4,1,Laboratory Technician,4,Married,3688,7122,4,Y,No,18,3,4,80,2,4,2,3,1,0,0,0,22128.0,8.213110697596676,6.340359303727752,0.42857142857142855,0.20188717125075287,3.0,18.0,9.0,54.0,324.0
299,51,No,Travel_Rarely,1302,Research & Development,2,3,Medical,1,408,4,Male,84,1,2,Manufacturing Director,2,Divorced,5482,16321,5,Y,No,18,3,4,80,1,13,3,3,4,1,1,2,13156.8,8.609407675404048,7.172424577124845,0.7857142857142856,0.5712507528608713,3.0,18.0,9.0,54.0,324.0
300,41,No,Travel_Rarely,334,Sales,2,4,Life Sciences,1,410,4,Male,88,3,4,Manager,2,Single,16015,15896,1,Y,No,19,3,2,80,0,22,2,3,22,10,0,4,8355.652173913044,9.681343501555002,5.814130531825066,0.5476190476190477,0.5541859064444891,3.0,19.0,9.0,57.0,361.0
301,18,No,Travel_Rarely,812,Sales,10,3,Medical,1,411,4,Female,69,2,1,Sales Representative,3,Single,1200,9724,1,Y,No,12,3,1,80,0,0,2,3,0,0,0,0,14400.0,7.0909098220799835,6.70073110954781,0.0,0.3063641838988155,3.0,12.0,9.0,36.0,144.0
302,28,No,Travel_Rarely,1476,Research & Development,16,2,Medical,1,412,2,Male,68,4,2,Healthcare Representative,1,Single,5661,4824,0,Y,No,19,3,3,80,0,9,2,3,8,3,0,7,7548.0,8.641532465671846,7.29776828253138,0.23809523809523808,0.10961654286287895,3.0,19.0,9.0,57.0,361.0
303,31,No,Travel_Rarely,218,Sales,7,3,Technical Degree,1,416,2,Male,100,4,2,Sales Executive,4,Married,6929,12241,4,Y,No,11,3,2,80,1,10,3,2,8,7,7,7,9238.666666666666,8.84361509218395,5.389071729816501,0.3095238095238095,0.4074282272636016,3.0,11.0,9.0,33.0,121.0
304,39,No,Travel_Rarely,1132,Research & Development,1,3,Medical,1,417,3,Male,48,4,3,Healthcare Representative,4,Divorced,9613,10942,0,Y,No,17,3,1,80,3,19,5,2,18,10,3,7,6071.368421052632,9.170975648453906,7.0326242610280065,0.49999999999999994,0.3552700260991769,3.0,17.0,9.0,51.0,289.0
305,36,No,Non-Travel,1105,Research & Development,24,4,Life Sciences,1,419,2,Female,47,3,2,Laboratory Technician,2,Married,5674,6927,7,Y,No,15,3,3,80,1,11,3,3,9,8,0,8,6808.8,8.643825842349603,7.00850518208228,0.42857142857142855,0.19405741818911862,3.0,15.0,9.0,45.0,225.0
306,32,No,Travel_Rarely,906,Sales,7,3,Life Sciences,1,420,4,Male,91,2,2,Sales Executive,3,Married,5484,16985,1,Y,No,14,3,3,80,1,13,3,2,13,8,4,8,4700.571428571428,8.609772372709331,6.810142450115136,0.3333333333333333,0.5979120658502308,3.0,14.0,9.0,42.0,196.0
307,38,No,Travel_Rarely,849,Research & Development,25,2,Life Sciences,1,421,1,Female,81,2,3,Research Director,2,Married,12061,26707,3,Y,No,17,3,3,80,1,19,2,3,10,8,0,1,13157.454545454546,9.397815294010933,6.745236349484363,0.4761904761904761,0.9882754466974503,3.0,17.0,9.0,51.0,289.0
308,58,No,Non-Travel,390,Research & Development,1,4,Life Sciences,1,422,4,Male,32,1,2,Healthcare Representative,3,Divorced,5660,17056,2,Y,Yes,13,3,4,80,1,12,2,3,5,3,1,2,11320.0,8.64135583403666,5.968707559985366,0.9523809523809523,0.6007628990162618,3.0,13.0,9.0,39.0,169.0
309,31,No,Travel_Rarely,691,Research & Development,5,4,Technical Degree,1,423,3,Male,86,3,1,Research Scientist,4,Married,4821,10077,0,Y,Yes,12,3,3,80,1,6,4,3,5,2,0,3,9642.0,8.480944058741116,6.539585955617669,0.3095238095238095,0.3205380445693635,3.0,12.0,9.0,36.0,144.0
310,31,No,Travel_Rarely,106,Human Resources,2,3,Human Resources,1,424,1,Male,62,2,2,Human Resources,1,Married,6410,17822,3,Y,No,12,3,4,80,0,9,1,3,2,2,1,0,25640.0,8.765770543987257,4.672828834461906,0.3095238095238095,0.6315197751455531,3.0,12.0,9.0,36.0,144.0
311,45,No,Travel_Frequently,1249,Research & Development,7,3,Life Sciences,1,425,1,Male,97,3,3,Laboratory Technician,1,Divorced,5210,20308,1,Y,No,18,3,1,80,1,24,2,3,24,9,9,11,2500.8,8.558527054909215,7.1308988302963465,0.6428571428571428,0.7313390885364385,3.0,18.0,9.0,54.0,324.0
312,31,No,Travel_Rarely,192,Research & Development,2,4,Life Sciences,1,426,3,Male,32,3,1,Research Scientist,4,Divorced,2695,7747,0,Y,Yes,18,3,2,80,1,3,2,1,2,2,2,2,10780.0,7.899524472032198,5.262690188904886,0.3095238095238095,0.22698253362778556,3.0,18.0,9.0,54.0,324.0
313,33,No,Travel_Frequently,553,Research & Development,5,4,Life Sciences,1,428,4,Female,74,3,3,Manager,2,Married,11878,23364,6,Y,No,11,3,2,80,2,12,2,3,10,6,8,8,12957.818181818182,9.38252741428954,6.317164686747284,0.35714285714285715,0.8540453724151776,3.0,11.0,9.0,33.0,121.0
314,39,No,Travel_Rarely,117,Research & Development,10,1,Medical,1,429,3,Male,99,3,4,Manager,1,Married,17068,5355,1,Y,Yes,14,3,4,80,0,21,3,3,21,9,11,10,9309.818181818182,9.745019231764333,4.770684624465665,0.49999999999999994,0.13093756273840593,3.0,14.0,9.0,42.0,196.0
315,43,No,Travel_Frequently,185,Research & Development,10,4,Life Sciences,1,430,3,Female,33,3,1,Laboratory Technician,4,Single,2455,10675,0,Y,No,19,3,1,80,0,9,5,3,8,7,1,7,3273.3333333333335,7.806289289267033,5.225746673713202,0.5952380952380951,0.34454928729170853,3.0,19.0,9.0,57.0,361.0
316,49,No,Travel_Rarely,1091,Research & Development,1,2,Technical Degree,1,431,3,Female,90,2,4,Healthcare Representative,3,Single,13964,17810,7,Y,Yes,12,3,4,80,0,25,2,3,7,1,0,7,20946.0,9.544309478379278,6.9957661563048505,0.7380952380952379,0.631037944187914,3.0,12.0,9.0,36.0,144.0
317,52,Yes,Travel_Rarely,723,Research & Development,8,4,Medical,1,433,3,Male,85,2,2,Research Scientist,2,Married,4941,17747,2,Y,No,15,3,1,80,0,11,3,2,8,2,7,7,6588.0,8.505525386548555,6.584791392385716,0.8095238095238095,0.6285083316603092,3.0,15.0,9.0,45.0,225.0
318,27,No,Travel_Rarely,1220,Research & Development,5,3,Life Sciences,1,434,3,Female,85,3,1,Research Scientist,2,Single,2478,20938,1,Y,Yes,12,3,2,80,0,4,2,2,4,3,1,2,5947.2,7.8156105320351905,7.107425474110705,0.21428571428571425,0.7566352138124874,3.0,12.0,9.0,36.0,144.0
319,32,No,Travel_Rarely,588,Sales,8,2,Technical Degree,1,436,3,Female,65,2,2,Sales Executive,2,Married,5228,24624,1,Y,Yes,11,3,4,80,0,13,2,3,13,12,11,9,4481.142857142857,8.56197533418813,6.3784261836515865,0.3333333333333333,0.9046376229672757,3.0,11.0,9.0,33.0,121.0
320,27,No,Travel_Rarely,1377,Sales,2,3,Life Sciences,1,437,4,Male,74,3,2,Sales Executive,3,Single,4478,5242,1,Y,Yes,11,3,1,80,0,5,3,3,5,4,0,4,8956.0,8.4071550862073,7.228388451573604,0.21428571428571425,0.12640032122063843,3.0,11.0,9.0,33.0,121.0
321,31,No,Travel_Rarely,691,Sales,7,3,Marketing,1,438,4,Male,73,3,2,Sales Executive,4,Divorced,7547,7143,4,Y,No,12,3,4,80,3,13,3,3,7,7,1,7,11320.5,8.92903790648844,6.539585955617669,0.3095238095238095,0.20273037542662117,3.0,12.0,9.0,36.0,144.0
322,32,No,Travel_Rarely,1018,Research & Development,2,4,Medical,1,439,1,Female,74,4,2,Research Scientist,4,Single,5055,10557,7,Y,No,16,3,3,80,0,10,0,2,7,7,0,7,7582.5,8.528330935826693,6.926577033222725,0.3333333333333333,0.3398112828749247,3.0,16.0,9.0,48.0,256.0
323,28,Yes,Travel_Rarely,1157,Research & Development,2,4,Medical,1,440,1,Male,84,1,1,Research Scientist,4,Married,3464,24737,5,Y,Yes,13,3,4,80,0,5,4,2,3,2,2,2,10392.0,8.150467911624004,7.05444965813294,0.23809523809523808,0.9091748644850431,3.0,13.0,9.0,39.0,169.0
324,30,No,Travel_Rarely,1275,Research & Development,28,2,Medical,1,441,4,Female,64,3,2,Research Scientist,4,Married,5775,11934,1,Y,No,13,3,4,80,2,11,2,3,10,8,1,9,6300.0,8.661466680572662,7.151485463904735,0.28571428571428564,0.3951013852640032,3.0,13.0,9.0,39.0,169.0
325,31,No,Travel_Frequently,798,Research & Development,7,2,Life Sciences,1,442,3,Female,48,2,3,Manufacturing Director,3,Married,8943,14034,1,Y,No,24,4,1,80,1,10,2,3,10,9,8,9,9756.0,9.09873819539488,6.683360945766275,0.3095238095238095,0.47942180285083313,4.0,24.0,16.0,96.0,576.0
326,39,No,Travel_Frequently,672,Research & Development,7,2,Medical,1,444,3,Male,54,2,5,Manager,4,Married,19272,21141,1,Y,No,15,3,1,80,1,21,2,3,21,9,13,3,10512.0,9.866460431699052,6.511745329644728,0.49999999999999994,0.7647861875125477,3.0,15.0,9.0,45.0,225.0
327,39,Yes,Travel_Rarely,1162,Sales,3,2,Medical,1,445,4,Female,41,3,2,Sales Executive,3,Married,5238,17778,4,Y,Yes,18,3,1,80,0,12,3,2,1,0,0,0,31428.0,8.56388591940822,7.0587581525186645,0.49999999999999994,0.62975306163421,3.0,18.0,9.0,54.0,324.0
328,33,No,Travel_Frequently,508,Sales,10,3,Marketing,1,446,2,Male,46,2,2,Sales Executive,4,Single,4682,4317,3,Y,No,14,3,3,80,0,9,6,2,7,7,0,1,7023.0,8.451694209183541,6.2324480165505225,0.35714285714285715,0.08925918490262999,3.0,14.0,9.0,42.0,196.0
329,47,No,Travel_Rarely,1482,Research & Development,5,5,Life Sciences,1,447,4,Male,42,3,5,Research Director,3,Married,18300,16375,4,Y,No,11,3,2,80,1,21,2,3,3,2,1,1,54900.0,9.814710982145282,7.301822342137932,0.6904761904761905,0.5734189921702469,3.0,11.0,9.0,33.0,121.0
330,43,No,Travel_Frequently,559,Research & Development,10,4,Life Sciences,1,448,3,Female,82,2,2,Laboratory Technician,3,Divorced,5257,6227,1,Y,No,11,3,2,80,1,9,3,4,9,7,0,0,6308.4,8.567506005289827,6.327936783729195,0.5952380952380951,0.16595061232684197,3.0,11.0,9.0,33.0,121.0
331,27,No,Non-Travel,210,Sales,1,1,Marketing,1,449,3,Male,73,3,2,Sales Executive,2,Married,6349,22107,0,Y,Yes,13,3,4,80,1,6,0,3,5,4,1,4,12698.0,8.756210091886738,5.351858133476067,0.21428571428571425,0.8035735796024894,3.0,13.0,9.0,39.0,169.0
332,54,No,Travel_Frequently,928,Research & Development,20,4,Life Sciences,1,450,4,Female,31,3,2,Research Scientist,3,Single,4869,16885,3,Y,No,12,3,4,80,0,20,4,2,4,3,0,3,11685.6,8.490849216076635,6.834108738813838,0.857142857142857,0.5938968078699056,3.0,12.0,9.0,36.0,144.0
333,43,No,Travel_Rarely,1001,Research & Development,7,3,Life Sciences,1,451,3,Female,43,3,3,Healthcare Representative,1,Married,9985,9262,8,Y,No,16,3,1,80,1,10,1,2,1,0,0,0,59910.0,9.208939391060555,6.90975328164481,0.5952380952380951,0.28781369202971285,3.0,16.0,9.0,48.0,256.0
334,45,No,Travel_Rarely,549,Research & Development,8,4,Other,1,452,4,Male,75,3,2,Research Scientist,4,Married,3697,9278,9,Y,No,14,3,1,80,2,12,3,3,10,9,9,8,4033.090909090909,8.21554741194707,6.309918278226516,0.6428571428571428,0.28845613330656494,3.0,14.0,9.0,42.0,196.0
335,40,No,Travel_Rarely,1124,Sales,1,2,Medical,1,453,2,Male,57,1,2,Sales Executive,4,Married,7457,13273,2,Y,Yes,22,4,3,80,3,6,2,2,4,3,0,2,17896.8,8.917042560738766,7.025538314638521,0.5238095238095237,0.4488656896205582,4.0,22.0,16.0,88.0,484.0
336,29,Yes,Travel_Rarely,318,Research & Development,8,4,Other,1,454,2,Male,77,1,1,Laboratory Technician,1,Married,2119,4759,1,Y,Yes,11,3,4,80,0,7,4,2,7,7,0,7,3178.5,7.659171367666058,5.765191102784844,0.2619047619047619,0.10700662517566753,3.0,11.0,9.0,33.0,121.0
337,29,No,Travel_Rarely,738,Research & Development,9,5,Other,1,455,2,Male,30,2,1,Laboratory Technician,4,Single,3983,7621,0,Y,No,17,3,3,80,0,4,2,3,3,2,2,2,11949.0,8.290041618704489,6.6052979209482015,0.2619047619047619,0.22192330857257578,3.0,17.0,9.0,51.0,289.0
338,30,No,Travel_Rarely,570,Sales,5,3,Marketing,1,456,4,Female,30,2,2,Sales Executive,3,Divorced,6118,5431,1,Y,No,13,3,3,80,3,10,2,3,10,9,1,2,6674.181818181818,8.71915396346254,6.3473892096560105,0.28571428571428564,0.1339891588034531,3.0,13.0,9.0,39.0,169.0
339,27,No,Travel_Rarely,1130,Sales,8,4,Marketing,1,458,2,Female,56,3,2,Sales Executive,2,Married,6214,3415,1,Y,No,18,3,1,80,1,8,3,3,8,7,0,7,8285.333333333334,8.734721003944811,7.030857476116121,0.21428571428571425,0.05304155792009638,3.0,18.0,9.0,54.0,324.0
340,37,No,Travel_Rarely,1192,Research & Development,5,2,Medical,1,460,4,Male,61,3,2,Manufacturing Director,4,Divorced,6347,23177,7,Y,No,16,3,3,80,2,8,2,2,6,2,0,4,10880.57142857143,8.7558950816463,7.084226422097916,0.4523809523809524,0.8465368399919695,3.0,16.0,9.0,48.0,256.0
341,38,No,Travel_Rarely,343,Research & Development,15,2,Life Sciences,1,461,3,Male,92,2,3,Research Director,4,Divorced,11510,15682,0,Y,Yes,14,3,2,80,1,12,3,3,11,10,2,9,11510.0,9.351058378915061,5.840641657373398,0.4761904761904761,0.545593254366593,3.0,14.0,9.0,42.0,196.0
342,31,No,Travel_Rarely,1232,Research & Development,7,4,Medical,1,462,3,Female,39,3,3,Manufacturing Director,4,Single,7143,25713,1,Y,Yes,14,3,3,80,0,11,2,2,11,9,4,10,7143.0,8.874028122556336,7.117205503164344,0.3095238095238095,0.9483637823730174,3.0,14.0,9.0,42.0,196.0
343,29,No,Travel_Rarely,144,Sales,10,1,Marketing,1,463,4,Female,39,2,2,Sales Executive,2,Divorced,8268,11866,1,Y,Yes,14,3,1,80,2,7,2,3,7,7,1,7,12402.0,9.020268861722167,4.976733742420574,0.2619047619047619,0.39237100983738205,3.0,14.0,9.0,42.0,196.0
344,35,No,Travel_Rarely,1296,Research & Development,5,4,Technical Degree,1,464,3,Male,62,3,3,Manufacturing Director,2,Single,8095,18264,0,Y,No,13,3,4,80,0,17,5,3,16,6,0,13,5714.117647058823,8.999125391527247,7.167809184316444,0.4047619047619047,0.6492672154185907,3.0,13.0,9.0,39.0,169.0
345,23,No,Travel_Rarely,1309,Research & Development,26,1,Life Sciences,1,465,3,Male,83,3,1,Research Scientist,4,Divorced,2904,16092,1,Y,No,12,3,3,80,2,4,2,2,4,2,0,2,6969.6,7.974188669286011,7.177782416195197,0.11904761904761901,0.5620558120859265,3.0,12.0,9.0,36.0,144.0
346,41,No,Travel_Rarely,483,Research & Development,6,3,Medical,1,466,4,Male,95,2,2,Manufacturing Director,2,Single,6032,10110,6,Y,Yes,15,3,4,80,0,8,3,3,5,4,1,2,12064.0,8.704999678440762,6.182084906716632,0.5476190476190477,0.32186307970287087,3.0,15.0,9.0,45.0,225.0
347,47,No,Travel_Frequently,1309,Sales,4,1,Medical,1,467,2,Male,99,3,2,Sales Representative,3,Single,2976,25751,3,Y,No,19,3,1,80,0,5,3,3,0,0,0,0,35712.0,7.998671361015776,7.177782416195197,0.6904761904761905,0.9498895804055411,3.0,19.0,9.0,57.0,361.0
348,42,No,Travel_Rarely,810,Research & Development,23,5,Life Sciences,1,468,1,Female,44,3,4,Research Director,4,Single,15992,15901,2,Y,No,14,3,2,80,0,16,2,3,1,0,0,0,95952.0,9.67990640549087,6.698268054115413,0.5714285714285714,0.5543866693435053,3.0,14.0,9.0,42.0,196.0
349,29,No,Non-Travel,746,Sales,2,3,Life Sciences,1,469,4,Male,61,3,2,Sales Executive,3,Married,4649,16928,1,Y,No,14,3,1,80,1,4,3,2,4,3,0,2,11157.6,8.444622498581403,6.616065185132817,0.2619047619047619,0.5956233688014455,3.0,14.0,9.0,42.0,196.0
350,42,No,Travel_Rarely,544,Human Resources,2,1,Technical Degree,1,470,3,Male,52,3,1,Human Resources,3,Divorced,2696,24017,0,Y,Yes,11,3,3,80,1,4,5,3,3,2,1,0,8088.0,7.89989532313973,6.300785794663244,0.5714285714285714,0.8802650070267014,3.0,11.0,9.0,33.0,121.0
351,32,No,Travel_Rarely,1062,Research & Development,2,3,Medical,1,471,3,Female,75,3,1,Laboratory Technician,2,Married,2370,3956,1,Y,No,13,3,3,80,1,8,4,3,8,0,0,7,3160.0,7.771067086065406,6.968850378341948,0.3333333333333333,0.0747641035936559,3.0,13.0,9.0,39.0,169.0
352,48,No,Travel_Rarely,530,Sales,29,1,Medical,1,473,1,Female,91,3,3,Manager,3,Married,12504,23978,3,Y,No,21,4,2,80,1,15,3,1,0,0,0,0,150048.0,9.433883843311719,6.274762021241939,0.7142857142857142,0.8786990564143746,4.0,21.0,16.0,84.0,441.0
353,37,No,Travel_Rarely,1319,Research & Development,6,3,Medical,1,474,3,Male,51,4,2,Research Scientist,1,Divorced,5974,17001,4,Y,Yes,13,3,1,80,2,13,2,3,7,7,6,7,8961.0,8.695339376799712,7.1853870155804165,0.4523809523809524,0.5985545071270829,3.0,13.0,9.0,39.0,169.0
354,30,No,Non-Travel,641,Sales,25,2,Technical Degree,1,475,4,Female,85,3,2,Sales Executive,3,Married,4736,6069,7,Y,Yes,12,3,2,80,1,4,2,4,2,2,2,2,18944.0,8.463159302923751,6.464588303689961,0.28571428571428564,0.15960650471792812,3.0,12.0,9.0,36.0,144.0
355,26,No,Travel_Rarely,933,Sales,1,3,Life Sciences,1,476,3,Male,57,3,2,Sales Executive,3,Married,5296,20156,1,Y,No,17,3,2,80,1,8,3,3,8,7,7,7,7061.333333333333,8.574895901544526,6.839476438228843,0.19047619047619052,0.7252358964063441,3.0,17.0,9.0,51.0,289.0
356,42,No,Travel_Rarely,1332,Research & Development,2,4,Other,1,477,1,Male,98,2,2,Healthcare Representative,4,Single,6781,17078,3,Y,No,23,4,2,80,0,14,6,3,1,0,0,0,40686.0,8.822027322685583,7.195187320178709,0.5714285714285714,0.6016462557719333,4.0,23.0,16.0,92.0,529.0
357,21,Yes,Travel_Frequently,756,Sales,1,1,Technical Degree,1,478,1,Female,99,2,1,Sales Representative,2,Single,2174,9150,1,Y,Yes,11,3,3,80,0,3,3,3,3,2,1,2,6522.0,7.684783943522785,6.6293632534374485,0.07142857142857145,0.28331660309174866,3.0,11.0,9.0,33.0,121.0
358,36,No,Non-Travel,845,Sales,1,5,Medical,1,479,4,Female,45,3,2,Sales Executive,4,Single,6653,15276,4,Y,No,15,3,2,80,0,7,6,3,1,0,0,0,39918.0,8.802973456578423,6.740519359606223,0.42857142857142855,0.5292913069664726,3.0,15.0,9.0,45.0,225.0
359,36,No,Travel_Frequently,541,Sales,3,4,Medical,1,481,1,Male,48,2,3,Sales Executive,4,Married,9699,7246,4,Y,No,11,3,1,80,1,16,2,3,13,9,1,12,8313.42857142857,9.179881164491475,6.295266001439646,0.42857142857142855,0.20686609114635615,3.0,11.0,9.0,33.0,121.0
